id,name,bedroom,bathroom,carpark,monthly_price,yearly_price,sqft,furnish_type,property_type,city,state,pet_friendly,latitude,longitude,listing_url
237424,PJ8 Serviced Residences,1,1,1,2100,25200,700.0,FULL,HIGHRISE,Petaling Jaya,Selangor,True,3.1015252,101.6398476,https://speedhome.com/reels/pj8-serviced-residences-intehbyb
237005,Pelangi Damansara Condo,3,2,1,2000,24000,950.0,FULL,HIGHRISE,Petaling Jaya,Selangor,True,3.1540589417536893,101.60454608094355,https://speedhome.com/reels/pelangi-damansara-condo-vjykoqof
234501,"The Zizz, Damansara Damai",4,1,3,2300,27600,1228.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.1987059855,101.5964984894,https://speedhome.com/reels/the-zizz-damansara-damai-kvkffoqf
232814,"One Damansara Condominium, Petaling Jaya",3,2,1,1900,22800,986.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,False,3.1977428,101.5929121,https://speedhome.com/reels/one-damansara-condominium-ydlwhixu
228099,"Kasturi Idaman Condominium, Kota Damansara",3,2,1,1400,16800,946.0,NONE,HIGHRISE,Petaling Jaya,Selangor,False,3.1775063,101.5759472,https://speedhome.com/reels/kasturi-idaman-condominium-kota-damansara-uhdqpjcm
227523,Casa Tropicana,2,2,1,2200,26400,1007.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,False,3.1372073,101.5942519,https://speedhome.com/reels/casa-tropicana-kccmhczz
222172,"The Azure Residences, Kelana Jaya",1,1,0,1100,13200,,FULL,ROOM,Petaling Jaya,Selangor,True,3.1043371,101.5960487,https://speedhome.com/reels/the-azure-residences-kelana-jaya-qzmqfdsf
221514,"The Azure Residences, Kelana Jaya",1,1,0,1200,14400,400.0,FULL,ROOM,Petaling Jaya,Selangor,False,3.1042850478,101.5961229801,https://speedhome.com/reels/the-azure-residences-kelana-jaya-dthkkiiz
219316,Block E- Apartment Idaman,3,1,0,800,9600,650.0,PARTIAL,HIGHRISE,Bandar Puncak Alam,Selangor,False,3.1901898141,101.5917026997,https://speedhome.com/reels/block-e430-apartment-idaman-cdvpjqft
218968,"Lumi Tropicana, Petaling Jaya",0,1,1,1600,19200,452.0,NONE,HIGHRISE,Petaling Jaya,Selangor,False,3.1297604745,101.5948677063,https://speedhome.com/reels/lumi-tropicana-petaling-jaya-eiukumrv
218622,PPR Lembah Subang 2,3,1,0,950,11400,700.0,NONE,HIGHRISE,Petaling Jaya,Selangor,False,3.109289836861833,101.58803539709702,https://speedhome.com/reels/ppr-lembah-subang-2-weicnfzh
215813,"Apartment Harmoni, Damansara Damai",3,2,1,650,7800,650.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,True,3.195454815316764,101.58360783795926,https://speedhome.com/reels/apartment-harmoni-damansara-damai-tgsjblmv
211433,One Damansara Condominium,2,2,1,1200,14400,900.0,NONE,HIGHRISE,Petaling Jaya,Selangor,False,3.1978169,101.5929472,https://speedhome.com/reels/one-damansara-condominium-cvodgjev
209382,Pelangi Damansara Condo,3,2,1,1400,16800,852.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,True,3.153243,101.603526,https://speedhome.com/reels/pelangi-damansara-condo-nsjbujqa
207686,"Empire Damansara, Damansara Perdana",1,2,0,1400,16800,600.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,False,3.1657335493,101.6121304035,https://speedhome.com/reels/empire-damansara-damansara-perdana-ghhfdlnc
207080,Bayu Puteri Apartment,4,2,2,1800,21600,855.0,PARTIAL,HIGHRISE,Petaling Jaya,Selangor,False,3.1321922849,101.598059535,https://speedhome.com/reels/bayu-puteri-apartment-gvfihhkw
197338,"The Zizz, Damansara Damai",1,1,0,550,6600,,FULL,ROOM,Petaling Jaya,Selangor,False,3.197870439737363,101.59665538499658,https://speedhome.com/reels/the-zizz-damansara-damai-hjczecpc
197337,"The Zizz, Damansara Damai",1,1,2,550,6600,,FULL,ROOM,Petaling Jaya,Selangor,False,3.1978650836725926,101.59673988821136,https://speedhome.com/reels/the-zizz-damansara-damai-zuzewgpl
194190,"The Zizz Damansara Damai, Petaling Jaya",1,1,2,450,5400,745.0,FULL,ROOM,Petaling Jaya,Selangor,True,3.1987059855,101.5964984894,https://speedhome.com/reels/the-zizz-damansara-damai-petaling-jaya-bwlfyatn
194050,Cosmo The Zizz Damansara Damai,1,1,1,550,6600,742.0,FULL,ROOM,Petaling Jaya,Selangor,False,3.1976344404699804,101.59707579140166,https://speedhome.com/reels/cosmo-the-zizz-damansara-damai-marmkmtn
190614,"Empire City, Damansara Perdana",0,1,0,3200,38400,1044.0,PARTIAL,HIGHRISE,Kuala Lumpur,Wilayah Persekutuan,True,3.1683152498,101.6154402494,https://speedhome.com/reels/empire-city-damansara-perdana-tjklpzzc
190380,"Amcorp Serviced Suites, Petaling Jaya",0,1,0,1700,20400,495.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.1050028248,101.6470849514,https://speedhome.com/reels/amcorp-serviced-suites-petaling-jaya-jrwpymay
187205,"Ritze Perdana 1, Damansara Perdana",0,1,1,1100,13200,382.0,FULL,HIGHRISE,Petaling Jaya,Selangor,False,3.166273,101.605081,https://speedhome.com/reels/ritze-perdana-1-damansara-perdana-mruibazl
170549,Kelana Jaya SS7 Master Room to let,1,1,1,750,9000,,FULL,ROOM,Petaling Jaya,Selangor,False,3.0739535,101.5907669,https://speedhome.com/reels/kelana-jaya-ss7-female-only-master-room-to-let-gsszzhaj
164529,121 residence,2,1,1,3166,37992,450.0,FULL,HIGHRISE,Petaling Jaya,Selangor,True,3.1363546,101.6136109,https://speedhome.com/reels/121-residence-aslauukf
141092,"Cantara Residences, Ara Damansara",1,1,2,2300,27600,646.0,PARTIAL,HIGHRISE,,,False,3.1175691992,101.5901470184,https://speedhome.com/reels/cantara-residences-ara-damansara-abfofvnz
139866,Kelana Puteri Condo,3,2,1,1400,16800,1035.0,PARTIAL,HIGHRISE,,,False,3.107907,101.594474,https://speedhome.com/reels/kelana-puteri-condo-vqoswyxl
137548,Bayu Puteri Apartment,3,2,2,1600,19200,850.0,PARTIAL,HIGHRISE,,,False,3.1321481,101.5980368,https://speedhome.com/reels/bayu-puteri-apartment-zqxhsxat
136582,"Tropicana Gardens, Kota Damansara",1,1,1,2300,27600,604.0,PARTIAL,HIGHRISE,,,True,3.1493701322,101.5914532542,https://speedhome.com/reels/tropicana-gardens-kota-damansara-hsfrpgqn
135856,"Empire City Halo Sunday, Petaling Jaya",1,1,0,1300,15600,462.0,FULL,HIGHRISE,Petaling Jaya,Selangor,True,3.1681718,101.6152626,https://speedhome.com/reels/empire-city-halo-sunday-petaling-jaya-qchfjnmk
135202,"Studio concept room @ Landed house near KTM, Midvalley, Old klang road",1,1,3,950,11400,,FULL,ROOM,Petaling Jaya,Selangor,True,3.0827370641131324,101.6576938292776,https://speedhome.com/reels/studio-concept-room-landed-house-near-ktm-midvalley-old-klang-road-bzjchqus
134567,"Icon City, Petaling Jaya",1,1,1,1860,22320,358.0,FULL,HIGHRISE,,,False,3.0868226,101.6142011,https://speedhome.com/reels/icon-city-petaling-jaya-hdoygvlh
